gtpu_access_tunnel_ip,count
 10.97.8.140           ,109
 100.99.141.142        ,109
 100.97.155.109        ,109
 100.92.82.107         ,109
 100.99.132.152        ,109
 100.100.137.108       ,109
 100.99.142.219        ,108
 10.36.31.2            ,108
 100.102.169.245       ,108
 100.99.249.131        ,108
 100.102.64.162        ,108
 100.100.134.205       ,108
 100.100.135.57        ,108
 100.99.250.152        ,108
 100.95.24.117         ,108
 10.36.53.211          ,108
 100.102.76.114        ,108
 10.36.28.109          ,108
 100.117.118.242       ,108
 100.101.83.23         ,108
 100.100.221.114       ,108
 100.100.221.70        ,108
 100.102.64.173        ,108
 100.99.246.91         ,108
 10.36.16.133          ,108
 100.100.213.3         ,108
 100.99.242.60         ,108
 100.117.116.194       ,108
 100.99.138.20         ,108
 100.100.136.181       ,108
 100.101.80.222        ,108
 100.100.209.182       ,108
 100.101.147.200       ,108
 100.102.163.227       ,108
 10.97.9.217           ,108
 10.36.126.110         ,108
 100.99.249.70         ,108
 100.102.171.40        ,107
 100.117.126.242       ,107
 100.100.223.38        ,107
 100.100.129.44        ,107
 100.92.85.221         ,107
 100.99.133.44         ,107
 100.99.251.198        ,107
 100.100.213.22        ,107
 10.36.20.174          ,107
 100.99.248.146        ,107
 100.102.72.114        ,107
 10.36.48.25           ,107
 100.100.142.35        ,107
 100.100.220.242       ,107
 100.99.141.117        ,107
 100.99.142.117        ,107
 10.36.31.46           ,107
 100.99.242.148        ,107
 100.103.131.18        ,107
 100.100.215.50        ,107
 100.100.223.228       ,107
 100.101.86.238        ,107
 100.99.138.211        ,107
 100.99.250.229        ,107
 100.100.211.61        ,107
 100.101.80.134        ,107
 100.97.159.91         ,107
 100.102.163.2         ,107
 100.101.85.150        ,107
 10.36.21.51           ,107
 100.93.59.55          ,107
 100.99.249.42         ,107
 100.102.68.230        ,106
 100.117.112.85        ,106
 100.117.121.50        ,106
 100.99.255.150        ,106
 10.36.125.62          ,106
 100.99.253.36         ,106
 100.100.223.2         ,106
 100.100.223.231       ,106
 100.102.165.34        ,106
 100.101.94.138        ,106
 100.101.94.141        ,106
 100.99.250.82         ,106
 100.101.155.74        ,106
 100.93.48.217         ,106
 10.36.48.71           ,106
 100.93.55.57          ,106
 100.99.249.201        ,106
 100.99.138.199        ,106
 10.36.127.249         ,106
 100.100.218.130       ,106
 100.99.252.155        ,106
 100.103.138.115       ,106
 100.99.143.100        ,106
 100.102.70.21         ,106
 100.101.155.10        ,106
 100.101.83.67         ,106
 100.99.247.56         ,106
 10.36.83.41           ,106
 100.100.136.186       ,106
 100.99.136.146        ,106
 100.99.139.158        ,106
 10.36.24.189          ,106
 100.103.135.149       ,106
 100.101.148.67        ,105
 100.100.222.74        ,105
 100.99.240.67         ,105
 100.102.174.162       ,105
 100.97.158.21         ,105
 100.93.57.154         ,105
 100.101.148.50        ,105
 10.36.21.3            ,105
 10.36.26.28           ,105
 100.101.87.5          ,105
 100.97.159.67         ,105
 100.99.247.51         ,105
 100.116.138.131       ,105
 10.36.31.13           ,105
 100.100.218.50        ,105
 10.36.23.51           ,105
 100.99.142.66         ,105
 10.36.48.156          ,105
 10.36.54.21           ,105
 100.101.152.131       ,105
 100.99.142.168        ,105
 100.102.173.82        ,105
 100.99.248.180        ,105
 10.36.114.219         ,105
 100.100.216.38        ,105
 10.36.18.105          ,105
 10.36.127.221         ,105
 100.100.211.84        ,104
 100.112.216.37        ,104
 100.99.129.24         ,104
 10.36.26.204          ,104
 100.102.67.12         ,104
 10.97.2.105           ,104
 100.112.218.101       ,104
 100.100.223.140       ,104
 100.100.140.150       ,104
 100.102.72.122        ,104
 100.101.145.84        ,104
 100.112.210.151       ,104
 100.100.135.40        ,104
 100.99.243.139        ,104
 100.95.16.189         ,104
 100.103.142.83        ,104
 10.36.20.185          ,104
 100.99.134.228        ,104
 100.99.242.103        ,104
 100.99.132.137        ,104
 100.92.85.92          ,104
 100.103.130.66        ,104
 100.100.215.246       ,104
 100.101.83.74         ,104
 100.99.142.217        ,104
 10.36.88.61           ,104
 10.36.19.98           ,104
 100.102.170.99        ,104
 10.36.82.37           ,104
 10.36.20.99           ,104
 10.36.18.34           ,104
 100.99.250.39         ,104
 10.97.13.114          ,104
 100.103.141.162       ,104
 100.99.133.13         ,104
 100.99.254.253        ,104
 100.92.95.43          ,103
 100.95.30.137         ,103
 100.100.132.50        ,103
 100.99.250.75         ,103
 100.99.244.217        ,103
 100.97.154.23         ,103
 100.101.144.133       ,103
 100.112.221.67        ,103
 10.36.86.204          ,103
 100.100.135.61        ,103
 10.36.55.29           ,103
 100.100.214.30        ,103
 100.102.169.149       ,103
 100.99.131.189        ,103
 100.99.251.66         ,103
 100.101.81.102        ,103
 100.97.158.56         ,103
 100.100.219.152       ,103
 100.100.216.93        ,103
 100.101.158.185       ,103
 100.99.254.118        ,103
 100.92.84.138         ,103
 10.97.10.46           ,103
 100.99.137.236        ,103
 100.100.217.215       ,103
 100.102.74.94         ,103
 10.97.14.43           ,102
 100.99.248.244        ,102
 10.36.91.158          ,102
 100.100.134.162       ,102
 10.36.93.3            ,102
 10.97.11.237          ,102
 10.36.26.27           ,102
 100.99.252.201        ,102
 10.36.22.221          ,102
 10.36.27.35           ,102
 100.116.138.171       ,102
 100.99.250.204        ,102
 100.102.75.146        ,102
 100.101.157.132       ,102
 100.100.143.215       ,102
 10.36.26.254          ,102
 100.102.173.115       ,102
 100.117.118.243       ,102
 10.36.16.163          ,102
 100.102.175.227       ,102
 100.99.251.197        ,102
 100.100.212.28        ,102
 100.99.134.140        ,102
 100.99.253.18         ,102
 100.93.57.156         ,102
 100.100.134.194       ,102
 10.36.27.211          ,102
 10.36.81.9            ,102
 100.112.220.20        ,102
 100.100.217.66        ,102
 100.99.247.61         ,102
 100.102.163.101       ,102
 100.101.144.135       ,102
 100.102.68.184        ,102
 100.99.244.212        ,102
 100.100.142.146       ,102
 100.101.148.165       ,102
 100.100.221.205       ,102
 10.97.15.84           ,102
 10.97.6.218           ,102
 100.100.217.71        ,102
 100.102.161.84        ,102
 10.36.28.8            ,102
 10.36.31.77           ,101
 100.100.139.199       ,101
 100.99.255.131        ,101
 10.97.9.196           ,101
 100.101.153.187       ,101
 100.100.140.11        ,101
 100.99.141.102        ,101
 100.117.126.147       ,101
 100.100.128.250       ,101
 100.99.251.242        ,101
 100.102.172.51        ,101
 100.99.135.13         ,101
 100.100.215.54        ,101
 100.100.134.52        ,101
 10.36.27.238          ,101
 100.99.134.197        ,101
 100.100.134.68        ,101
 100.99.254.194        ,101
 10.36.28.39           ,101
 100.102.74.203        ,101
 100.100.221.184       ,101
 100.118.243.83        ,101
 10.36.16.44           ,101
 100.100.136.227       ,100
 10.36.31.253          ,100
 100.116.131.36        ,100
 100.99.254.35         ,100
 100.102.170.104       ,100
 100.103.130.82        ,100
 100.102.71.178        ,100
 100.99.139.157        ,100
 100.102.64.181        ,100
 100.103.143.2         ,100
 10.36.26.249          ,100
 100.100.219.41        ,100
 100.102.73.4          ,100
 100.93.48.74          ,100
 100.97.156.233        ,100
 10.36.94.234          ,100
 100.99.251.122        ,100
 10.36.24.183          ,100
 10.36.87.148          ,100
 10.97.1.237           ,100
 100.97.150.198        ,100
 100.116.134.147       ,100
 100.101.156.190       ,100
 100.93.56.182         ,100
 10.36.60.6            ,100
 100.101.148.68        ,100
 100.97.147.38         ,100
 100.92.83.8           ,100
 10.36.60.5            ,100
 10.36.23.228          ,100
 100.116.142.115       ,100
 100.99.246.66         ,100
 100.95.21.54          ,100
 100.99.130.106        ,100
 100.112.219.148       ,100
 100.101.157.89        ,100
 100.99.248.231        ,100
 100.101.80.83         ,100
 100.92.83.59          ,100
 100.95.31.102         ,100
 100.112.218.181       ,100
 100.100.216.102       ,100
 100.99.130.120        ,99
 100.99.249.233        ,99
 100.102.165.106       ,99
 100.93.56.115         ,99
 100.100.221.179       ,99
 100.100.140.36        ,99
 100.100.141.85        ,99
 100.100.211.212       ,99
 100.92.83.238         ,99
 10.36.28.37           ,99
 10.97.9.62            ,99
 100.102.171.102       ,99
 100.116.138.140       ,99
 100.99.253.24         ,99
 100.99.139.51         ,99
 100.99.142.120        ,99
 10.36.122.142         ,99
 100.99.142.123        ,99
 10.36.91.103          ,99
 100.95.18.215         ,99
 100.99.241.162        ,99
 100.99.250.131        ,99
 100.100.138.35        ,99
 100.97.151.121        ,99
 100.100.137.76        ,99
 10.36.20.145          ,99
 100.100.139.195       ,99
 100.101.83.22         ,99
 100.101.80.100        ,99
 100.101.80.227        ,99
 10.36.31.37           ,99
 100.116.132.146       ,99
 100.100.134.188       ,99
 100.101.153.3         ,99
 100.92.89.18          ,99
 100.101.145.19        ,99
 100.99.138.202        ,99
 100.118.243.50        ,99
 100.100.134.69        ,99
 100.101.88.27         ,99
 10.97.13.184          ,99
 100.100.128.248       ,99
 100.112.218.227       ,99
 10.97.10.170          ,99
 10.97.9.122           ,98
 100.100.134.184       ,98
 10.36.16.98           ,98
 100.97.159.22         ,98
 100.116.143.29        ,98
 100.103.138.52        ,98
 100.99.138.212        ,98
 100.100.139.179       ,98
 100.103.139.19        ,98
 100.92.89.186         ,98
 100.95.25.248         ,98
 100.101.155.233       ,98
 100.102.172.210       ,98
 100.99.243.23         ,98
 10.36.26.74           ,98
 100.99.245.242        ,98
 10.36.116.206         ,98
 100.92.82.9           ,98
 100.99.141.103        ,98
 100.99.250.134        ,98
 10.36.127.25          ,98
 100.99.240.69         ,98
 100.100.134.243       ,98
 100.101.81.118        ,98
 100.100.128.89        ,98
 10.97.7.179           ,98
 10.36.53.253          ,98
 100.95.28.62          ,98
 100.117.118.194       ,98
 100.95.21.162         ,98
 100.99.255.119        ,98
 10.36.84.238          ,98
 10.36.81.35           ,98
 10.36.63.5            ,98
 100.101.82.246        ,98
 100.95.20.139         ,98
 100.99.249.84         ,98
 100.101.87.7          ,98
 10.36.63.232          ,98
 100.92.85.7           ,97
 100.100.210.233       ,97
 100.99.132.183        ,97
 100.101.156.216       ,97
 100.92.93.205         ,97
 100.100.136.184       ,97
 100.116.135.83        ,97
