rat_type ,gtpu_access_tunnel_ip, cell_type ,cell_name,cell_site, loc_eci   ,latitude,longitude, cd_call_id ,s_dl_rtcp_mos, c_dl_rtcp_mos , s_ul_rtcp_mos     , c_ul_rtcp_mos 
 6        , 100.99.254.114        , OM        , 404-97-91013-1   , UW_E_F3_OM_DEH213A_A  , 23299329  , 30.30765 , 78.02122          , 5          , 32.74787600000001 , 8             , 34.156733         , 8             
 6        , 100.99.254.114        , OM        , 404-97-96540-20  , UW_E_T2_OM_DEH330A_A  , 24714260  , 30.31457 , 78.03167000000001 , 2          , 13.172512         , 3             , 13.197075         , 3             
 6        , 100.99.254.114        , OM        , 404-97-830648-1  , UW_E_F3_OM_DEH430A_A  , 212645889 , 30.313   , 78.0274           , 8          , 109.740035        , 25            , 109.527273        , 25            
 6        , 100.99.254.114        , IB        , 404-97-94534-4   , UW_E_F3_OM_IPEL01D_D   , 24200708  , 30.30425 , 78.01983          , 1          , 4.386042          , 1             , 4.380171          , 1             
 6        , 100.99.254.114        , OM        , 404-97-93623-20  , UW_E_T2_OM_DEH329A_A  , 23967508  , 30.31872 , 78.03976          , 1          , 4.385877          , 1             , 4.384274          , 1             
 6        , 100.99.254.114        , MACRO     , 404-97-502321-31 , UW_E_F1_OM_SLQI29B_B   , 128594207 , 30.35635 , 77.85691          , 1          , 4.39004           , 1             , 4.36486           , 1             
 6        , 100.99.254.114        , OM        , 404-97-596739-62 , UW_E_F5_OM_DEH998C_C  , 152765246 , 30.30777 , 78.01737          , 1          , 4.390717           , 1             , 4.395644          , 1             
 6        , 100.99.254.114        , OM        , 404-97-881908-20 , UW_E_T2_OM_DEH860A_A   , 225768468 , 30.31917 , 78.04313999999999 , 1          , 100.899324        , 23            , 100.826526        , 23            
 6        , 100.99.254.114        , Other     , Other            , Other                 , 15869717  , 0        , 0                 , 1          , 4.385365          , 1             , 0                 , 1             
 6        , 100.99.254.114        , Other     , Other            , Other                  , 151406399 , 0        , 0                 , 1          , 4.39568           , 1             , 4.380864          , 1             
 6        , 100.99.254.114        , OM        , 404-97-592232-31 , UW_E_F1_OM_DEH354B_B   , 151611423 , 30.30198 , 78.01082          , 1          , 8.765924999999999 , 2             , 8.757918          , 2             
 6        , 100.99.254.114        , OM        , 404-97-593373-62 , UW_E_F5_OM_DEH117C_C  , 151903550 , 30.31527 , 78.01671          , 1          , 8.780515999999999 , 2             , 8.788278          , 2             
 6        , 100.99.254.114        , OM        , 404-97-96540-92  , UW_E_T1_OM_DEH330C_C  , 24714332  , 30.31457 , 78.03167000000001 , 4          , 30.718823         , 8             , 30.755415         , 8             
 6        , 100.99.254.114        , OM        , 404-97-802487-22 , UW_E_T2_OM_DEH924C_C   , 205436694 , 30.32404 , 78.04174          , 1          , 4.390357          , 1             , 4.397812          , 1             
 6        , 100.99.254.114        , OM        , 404-97-593374-32 , UW_E_F1_OM_DEH133C_C  , 151903776 , 30.29256 , 77.99930000000001 , 1          , 4.397045          , 1             , 4.398069          , 1             
 6        , 100.99.254.114        , OM        , 404-97-91424-25  , UW_E_T2_OM_DEH03B_M   , 23404569  , 30.31747 , 78.02889999999999 , 69         , 1134.67627        , 267           , 1149.68097        , 267           
 6        , 100.99.254.114        , OM        , 404-97-91485-3   , UW_E_F3_OM_DEH20C_C   , 23420163  , 30.32111 , 78.0214           , 1          , 8.785827000000001 , 2             , 8.792593          , 2             
 6        , 100.99.254.114        , om        , 404-97-804480-3  , UW_E_F3_OM_DEH821C_C   , 205946883 , 30.32588 , 78.02553          , 1          , 4.384998          , 1             , 4.385119          , 1             
 6        , 100.99.254.114        , OM         , 404-97-802136-1  , UW_E_F3_OM_DEH859A_A   , 205346817 , 30.29814 , 78.02352          , 1          , 0                 , 1             , 4.40077           , 1             
 6        , 100.99.254.114        , OM        , 404-97-830648-90 , UW_E_T1_OM_DEH430A_A  , 212645978 , 30.313   , 78.0274           , 12         , 89.15478200000001 , 21            , 87.69184799999999 , 21            
 6        , 100.99.254.114        , Macro     , 404-97-61322-30  , UW_E_F1_HS_DEHM294A_A  , 15698462  , 30.30433 , 78.01761999999999 , 1          , 8.793181000000001 , 2             , 8.776017          , 2             
 6        , 100.99.254.114        , OM        , 404-97-91424-23  , UW_E_T2_OM_DEH03D_D   , 23404567  , 30.31747 , 78.02889999999999 , 24         , 254.162907        , 59            , 258.551632        , 59            
 6        , 100.99.254.114        , OM        , 404-97-896497-81 , UW_ZQ_T2_OM_DEH998B_B  , 229503313 , 30.30777 , 78.01737          , 1          , 4.389495          , 1             , 4.38659           , 1             
 6        , 100.99.254.114        , ULS       , 404-97-61484-90  , UW_E_T1_HS_DEHM246A_A  , 15739994  , 30.31808 , 78.02003000000001 , 1          , 4.379453          , 1             , 4.380295          , 1             
 6        , 100.99.254.114        , OM         , 404-97-591640-60 , UW_E_F5_OM_DEH214A_A  , 151459900 , 30.32299 , 78.03310999999999 , 1          , 13.179917         , 3             , 13.178476         , 3             
